bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Sandhill Crane,XFURRRF,https://upload.wikimedia.org/wikipedia/commons/e/e2/Grus_canadensis.jpg,https://ebird.org/species/sancra,https://en.wikipedia.org/wiki/Sandhill_crane,https://www.allaboutbirds.org/guide/Sandhill_Crane/overview,https://www.allaboutbirds.org/guide/assets/photo/25019451-1280px.jpg,https://macaulaylibrary.org/asset/539731,,,,6 - extremely rare,3 - fairly common,4 - uncommon,5 - rare,5 - rare,5 - rare,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/539731/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Whooping Crane,-R----R,https://upload.wikimedia.org/wikipedia/commons/7/7f/Grus_americana_Sasata.jpg,https://ebird.org/species/whocra,https://en.wikipedia.org/wiki/Whooping_crane,https://www.allaboutbirds.org/guide/Whooping_Crane/overview,https://www.allaboutbirds.org/guide/assets/photo/25037881-1280px.jpg,https://macaulaylibrary.org/asset/202747981,,,,,5 - rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/202747981/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Avocet,--X-XXX,https://upload.wikimedia.org/wikipedia/commons/d/de/American_Avocet1.jpg,https://ebird.org/species/ameavo,https://en.wikipedia.org/wiki/American_avocet,https://www.allaboutbirds.org/guide/American_Avocet/overview,https://www.allaboutbirds.org/guide/assets/photo/31751771-1280px.jpg,https://macaulaylibrary.org/asset/50264,,,,,,6 - extremely rare,,6 - extremely rare,6 - extremely rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/50264/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black-bellied Plover,--R-UU-,https://upload.wikimedia.org/wikipedia/commons/a/aa/Pluvialis_squatarola_%28summer_plumage%29.jpg,https://ebird.org/species/bkbplo/,https://en.wikipedia.org/wiki/Grey_plover,https://www.allaboutbirds.org/guide/Black-bellied_Plover/overview,https://www.allaboutbirds.org/guide/assets/photo/31957971-1280px.jpg,https://macaulaylibrary.org/asset/167886311,,,,,,5 - rare,,4 - uncommon,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/167886311/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Golden-Plover,--R-XR-,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pluvialis_dominica1.jpg,https://ebird.org/species/amgplo/,https://en.wikipedia.org/wiki/American_golden_plover,https://www.allaboutbirds.org/guide/American_Golden-Plover/overview,https://www.allaboutbirds.org/guide/assets/photo/84226471-1280px.jpg,https://macaulaylibrary.org/asset/31731481,,,,,,5 - rare,,6 - extremely rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/31731481/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Semipalmated Plover,--U-FFR,https://upload.wikimedia.org/wikipedia/commons/b/bc/Semipalmated_Plover.jpg,https://ebird.org/species/semplo,https://en.wikipedia.org/wiki/Semipalmated_plover,https://www.allaboutbirds.org/guide/Semipalmated_Plover/overview,https://www.allaboutbirds.org/guide/assets/photo/31914051-1280px.jpg,https://macaulaylibrary.org/asset/516985,,,,,,4 - uncommon,,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/516985/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Killdeer,RFCCCCU,https://upload.wikimedia.org/wikipedia/commons/e/ef/Killdeer.jpg,https://ebird.org/species/killde,https://en.wikipedia.org/wiki/Killdeer,https://www.allaboutbirds.org/guide/Killdeer/overview,https://www.allaboutbirds.org/guide/assets/photo/31916551-1280px.jpg,https://macaulaylibrary.org/asset/28760171,,,,5 - rare,3 - fairly common,2 - common,2 - common,2 - common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/28760171/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Stilt Sandpiper,--R-FFU,https://upload.wikimedia.org/wikipedia/commons/7/75/Calidris_himantopus.jpg,https://ebird.org/species/stisan,https://en.wikipedia.org/wiki/Stilt_sandpiper,https://www.allaboutbirds.org/guide/Stilt_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/31755841-1280px.jpg,https://macaulaylibrary.org/asset/262674491,,,,,,5 - rare,,3 - fairly common,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/262674491/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Sanderling,----XX-,https://upload.wikimedia.org/wikipedia/commons/7/73/Calidris_alba_-_Laem_Phak_Bia.jpg,https://ebird.org/species/sander,https://en.wikipedia.org/wiki/Sanderling,https://www.allaboutbirds.org/guide/Sanderling/overview,https://www.allaboutbirds.org/guide/assets/photo/31920561-1280px.jpg,https://macaulaylibrary.org/asset/138266,,,,,,,,6 - extremely rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/138266/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Dunlin,-RU-XRU,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dunlin_%28Calidris_alpina%29_juvenile.jpg,https://ebird.org/species/dunlin/,https://en.wikipedia.org/wiki/Dunlin,https://www.allaboutbirds.org/guide/Dunlin/overview,https://www.allaboutbirds.org/guide/assets/photo/32267351-1280px.jpg,https://macaulaylibrary.org/asset/203928881,,,,,5 - rare,4 - uncommon,,6 - extremely rare,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/203928881/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Baird's Sandpiper,--R-RR-,https://upload.wikimedia.org/wikipedia/commons/2/2c/Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg,https://ebird.org/species/baisan,https://en.wikipedia.org/wiki/Baird's_sandpiper,https://www.allaboutbirds.org/guide/Bairds_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/31920801-1280px.jpg,https://macaulaylibrary.org/asset/32797461,,,,,,5 - rare,,5 - rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/32797461/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Least Sandpiper,--F-FFU,https://upload.wikimedia.org/wikipedia/commons/1/18/Least_Sandpiper.jpg,https://ebird.org/species/leasan,https://en.wikipedia.org/wiki/Least_sandpiper,https://www.allaboutbirds.org/guide/Least_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/32316161-1280px.jpg,https://macaulaylibrary.org/asset/49965,,,,,,3 - fairly common,,3 - fairly common,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/49965/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
White-rumped Sandpiper,--R--XX,https://upload.wikimedia.org/wikipedia/commons/7/7b/Calidris_fuscicollis_PLAYERO_RABADILLA_BLANCA.jpg,https://ebird.org/species/whrsan,https://en.wikipedia.org/wiki/White-rumped_sandpiper,https://www.allaboutbirds.org/guide/White-rumped_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/32009481-1280px.jpg,https://macaulaylibrary.org/asset/32242581,,,,,,5 - rare,,,6 - extremely rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/32242581/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Buff-breasted Sandpiper,----XR-,https://upload.wikimedia.org/wikipedia/commons/b/b4/Tryngites_subruficollis_-USA-8.jpg,https://ebird.org/species/bubsan/,https://en.wikipedia.org/wiki/Buff-breasted_sandpiper,https://www.allaboutbirds.org/guide/Buff-breasted_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/73608491-1280px.jpg,https://macaulaylibrary.org/asset/63770,,,,,,,,6 - extremely rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/63770/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Pectoral Sandpiper,-UF-FFU,https://upload.wikimedia.org/wikipedia/commons/9/96/Pectoral_Sandpiper3.jpg,https://ebird.org/species/pecsan,https://en.wikipedia.org/wiki/Pectoral_sandpiper,https://www.allaboutbirds.org/guide/Pectoral_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/39403741-1280px.jpg,https://macaulaylibrary.org/asset/31730401,,,,,4 - uncommon,3 - fairly common,,3 - fairly common,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/31730401/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Semipalmated Sandpiper,--U-UFR,https://upload.wikimedia.org/wikipedia/commons/0/00/Calidris-pusilla-001.jpg,https://ebird.org/species/semsan,https://en.wikipedia.org/wiki/Semipalmated_sandpiper,https://www.allaboutbirds.org/guide/Semipalmated_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/25038951-1280px.jpg,https://macaulaylibrary.org/asset/137536,,,,,,4 - uncommon,,4 - uncommon,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/137536/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Western Sandpiper,-----X-,https://upload.wikimedia.org/wikipedia/commons/5/51/Western_Sandpiper.jpg,https://ebird.org/species/wessan,https://en.wikipedia.org/wiki/Western_sandpiper,https://www.allaboutbirds.org/guide/Western_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/25039051-1280px.jpg,https://macaulaylibrary.org/asset/105875,,,,,,,,,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105875/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Short-billed Dowitcher,--U-FU-,https://upload.wikimedia.org/wikipedia/commons/1/16/Limnodromus_griseus.jpg,https://ebird.org/species/shbdow,https://en.wikipedia.org/wiki/Short-billed_dowitcher,https://www.allaboutbirds.org/guide/Short-billed_Dowitcher/overview,https://www.allaboutbirds.org/guide/assets/photo/31918011-1280px.jpg,https://macaulaylibrary.org/asset/79090111,,,,,,4 - uncommon,,3 - fairly common,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/79090111/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Long-billed Dowitcher,--R-RUU,https://upload.wikimedia.org/wikipedia/commons/9/92/Limnodromus_scolopaceus_Mike_Baird_crop.jpg,https://ebird.org/species/lobdow,https://en.wikipedia.org/wiki/Long-billed_dowitcher,https://www.allaboutbirds.org/guide/Long-billed_Dowitcher/overview,https://www.allaboutbirds.org/guide/assets/photo/31915921-1280px.jpg,https://macaulaylibrary.org/asset/263152871,,,,,,5 - rare,,5 - rare,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/263152871/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Woodcock,-UUURRR,https://upload.wikimedia.org/wikipedia/commons/0/0c/American_Woodcock_Scolopax_minor.jpg,https://ebird.org/species/amewoo,https://en.wikipedia.org/wiki/American_woodcock,https://www.allaboutbirds.org/guide/American_Woodcock/overview,https://www.allaboutbirds.org/guide/assets/photo/31950411-1280px.jpg,https://macaulaylibrary.org/asset/96879691,,,,,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/96879691/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Wilson's Snipe,RFU-RFU,https://upload.wikimedia.org/wikipedia/commons/9/9d/Gallinago-delicata-002-cropped.jpg,https://ebird.org/species/wilsni1,https://en.wikipedia.org/wiki/Wilson's_snipe,https://www.allaboutbirds.org/guide/Wilsons_Snipe/overview,https://www.allaboutbirds.org/guide/assets/photo/31913201-1280px.jpg,https://macaulaylibrary.org/asset/94350,,,,5 - rare,3 - fairly common,4 - uncommon,,5 - rare,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/94350/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Wilson's Phalarope,--R-XF-,https://upload.wikimedia.org/wikipedia/commons/4/4a/Phalaropus_tricolor_-_breeding_female.jpg,https://ebird.org/species/wilpha/,https://en.wikipedia.org/wiki/Wilson's_phalarope,https://www.allaboutbirds.org/guide/Wilsons_Phalarope/overview,https://www.allaboutbirds.org/guide/assets/photo/39427521-1280px.jpg,https://macaulaylibrary.org/asset/162427661,,,,,,5 - rare,,6 - extremely rare,3 - fairly common,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/162427661/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Spotted Sandpiper,--FFFCU,https://upload.wikimedia.org/wikipedia/commons/4/46/Actitis-macularia-005.jpg,https://ebird.org/species/sposan,https://en.wikipedia.org/wiki/Spotted_sandpiper,https://www.allaboutbirds.org/guide/Spotted_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/31754211-1280px.jpg,https://macaulaylibrary.org/asset/170913191,,,,,,3 - fairly common,3 - fairly common,3 - fairly common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/170913191/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Solitary Sandpiper,-RU-FFR,https://upload.wikimedia.org/wikipedia/en/f/f0/Solitarysandpiper.jpg,https://ebird.org/species/solsan,https://en.wikipedia.org/wiki/Solitary_sandpiper,https://www.allaboutbirds.org/guide/Solitary_Sandpiper/overview,https://www.allaboutbirds.org/guide/assets/photo/31720481-1280px.jpg,https://macaulaylibrary.org/asset/79091261,,,,,5 - rare,4 - uncommon,,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/79091261/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Greater Yellowlegs,-UU-UFF,https://upload.wikimedia.org/wikipedia/commons/2/20/Greater_Yellowlegs2.jpg,https://ebird.org/species/greyel,https://en.wikipedia.org/wiki/Greater_yellowlegs,https://www.allaboutbirds.org/guide/Greater_Yellowlegs/overview,https://www.allaboutbirds.org/guide/assets/photo/31758201-1280px.jpg,https://macaulaylibrary.org/asset/105300891,,,,,4 - uncommon,4 - uncommon,,4 - uncommon,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105300891/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Willet,--X-X--,https://upload.wikimedia.org/wikipedia/commons/2/2c/Catoptrophorus_semipalmatus_edit.jpg,https://ebird.org/species/willet1,https://en.wikipedia.org/wiki/Willet,https://www.allaboutbirds.org/guide/Willet/overview,https://www.allaboutbirds.org/guide/assets/photo/31918621-1280px.jpg,https://macaulaylibrary.org/asset/28983001,,,,,,6 - extremely rare,,6 - extremely rare,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/28983001/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Lesser Yellowlegs,-UF-FCU,https://upload.wikimedia.org/wikipedia/commons/a/a3/Lesser_Yellowlegs.jpg,https://ebird.org/species/lesyel,https://en.wikipedia.org/wiki/Lesser_yellowlegs,https://www.allaboutbirds.org/guide/Lesser_Yellowlegs/overview,https://www.allaboutbirds.org/guide/assets/photo/31913331-1280px.jpg,https://macaulaylibrary.org/asset/207171,,,,,4 - uncommon,3 - fairly common,,3 - fairly common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/207171/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Bonaparte's Gull,-RU-X-R,https://upload.wikimedia.org/wikipedia/commons/4/4a/Bonaparte%27s_Gull%2C_Whitehorse.jpg,https://ebird.org/species/bongul/,https://en.wikipedia.org/wiki/Bonaparte's_gull,https://www.allaboutbirds.org/guide/Bonapartes_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/31965071-1280px.jpg,https://macaulaylibrary.org/asset/138200,,,,,5 - rare,4 - uncommon,,6 - extremely rare,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/138200/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Franklin's Gull,-----XX,https://upload.wikimedia.org/wikipedia/commons/6/68/Franklin%27s_Gull%2C_Calgary.jpg,https://ebird.org/species/fragul,https://en.wikipedia.org/wiki/Franklin's_gull,https://www.allaboutbirds.org/guide/Franklins_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/32272771-1280px.jpg,https://macaulaylibrary.org/asset/95141101,,,,,,,,,6 - extremely rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/95141101/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ring-billed Gull,FFFUFCC,https://upload.wikimedia.org/wikipedia/commons/3/38/Larus-delawarensis-021.jpg,https://ebird.org/species/ribgul,https://en.wikipedia.org/wiki/Ring-billed_gull,https://www.allaboutbirds.org/guide/Ring-billed_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/31503241-1280px.jpg,https://macaulaylibrary.org/asset/78362981,,,,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,3 - fairly common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/78362981/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Herring Gull,FFURRUF,https://upload.wikimedia.org/wikipedia/commons/4/43/Larus_smithsonianus-USFWS.jpg,https://ebird.org/species/hergul,https://en.wikipedia.org/wiki/American_herring_gull,https://www.allaboutbirds.org/guide/Herring_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/68597151-1280px.jpg,https://macaulaylibrary.org/asset/165927,,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,5 - rare,4 - uncommon,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/165927/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Iceland Gull,XX----X,https://upload.wikimedia.org/wikipedia/commons/d/d7/Larus_glaucoides_IthacaNY.jpg,https://ebird.org/species/y00478/,https://en.wikipedia.org/wiki/Iceland_gull,https://www.allaboutbirds.org/guide/Iceland_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/83977771-1280px.jpg,https://macaulaylibrary.org/asset/230185,,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/230185/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Lesser Black-backed Gull,X------,https://upload.wikimedia.org/wikipedia/commons/5/5e/Larus-fuscus-taxbox.jpg,https://ebird.org/species/lbbgul,https://en.wikipedia.org/wiki/Lesser_black-backed_gull,https://www.allaboutbirds.org/guide/Lesser_Black-backed_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/34417871-1280px.jpg,https://macaulaylibrary.org/asset/203947851,,,,6 - extremely rare,,,,,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/203947851/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Glaucous Gull,X-----X,https://upload.wikimedia.org/wikipedia/commons/a/a5/Wiki-shirokamome.jpg,https://ebird.org/species/glagul/,https://en.wikipedia.org/wiki/Glaucous_gull,https://www.allaboutbirds.org/guide/Glaucous_Gull/overview,https://www.allaboutbirds.org/guide/assets/photo/32273581-1280px.jpg,https://macaulaylibrary.org/asset/61432851,,,,6 - extremely rare,,,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/61432851/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Caspian Tern,--F-FFX,https://upload.wikimedia.org/wikipedia/commons/7/72/Sterna-caspia-010.jpg,https://ebird.org/species/caster1,https://en.wikipedia.org/wiki/Caspian_tern,https://www.allaboutbirds.org/guide/assets/photo/32007701-1280px.jpg,https://www.allaboutbirds.org/guide/assets/photo/32007701-1280px.jpg,https://macaulaylibrary.org/asset/246153261,,,,,,3 - fairly common,,3 - fairly common,3 - fairly common,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/246153261/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black Tern,--RFFX-,https://upload.wikimedia.org/wikipedia/commons/5/5e/%C4%8Cor%C3%ADk_%C4%8Dierny_%28Chlidonias_niger%29_a_%284644831482%29.jpg,https://ebird.org/species/blkter/,https://en.wikipedia.org/wiki/Black_tern,https://www.allaboutbirds.org/guide/Black_Tern/overview,https://www.allaboutbirds.org/guide/assets/photo/31956821-1280px.jpg,https://macaulaylibrary.org/asset/44539,,,,,,5 - rare,3 - fairly common,3 - fairly common,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/44539/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Forster's Tern,--R-RR-,https://upload.wikimedia.org/wikipedia/commons/9/90/Forster%27s_Tern.jpg,https://ebird.org/species/forter/,https://en.wikipedia.org/wiki/Forster's_tern,https://www.allaboutbirds.org/guide/Forsters_Tern/overview,https://www.allaboutbirds.org/guide/assets/photo/31918971-1280px.jpg,https://macaulaylibrary.org/asset/170027781,,,,,,5 - rare,,5 - rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/170027781/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Common Loon,XUR---R,https://upload.wikimedia.org/wikipedia/commons/b/b0/Gavia_immer_-Minocqua%2C_Wisconsin%2C_USA_-swimming-8.jpg,https://ebird.org/species/comloo/,https://en.wikipedia.org/wiki/Common_loon,https://www.allaboutbirds.org/guide/Common_Loon/overview,https://www.allaboutbirds.org/guide/assets/photo/31755041-1280px.jpg,https://macaulaylibrary.org/asset/33842721,,,,6 - extremely rare,4 - uncommon,5 - rare,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/33842721/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Double-crested Cormorant,XFCCCCU,https://upload.wikimedia.org/wikipedia/commons/f/fb/Phalacrocorax-auritus-007.jpg,https://ebird.org/species/doccor,https://en.wikipedia.org/wiki/Double-crested_cormorant,https://www.allaboutbirds.org/guide/double-crested_cormorant/overview,https://www.allaboutbirds.org/guide/assets/photo/31913881-1280px.jpg,https://macaulaylibrary.org/asset/65707121,,,,6 - extremely rare,3 - fairly common,2 - common,2 - common,2 - common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/65707121/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American White Pelican,-R----R,https://upload.wikimedia.org/wikipedia/commons/3/32/American_White_Pelican.jpg,https://ebird.org/species/amwpel,https://en.wikipedia.org/wiki/American_white_pelican,https://www.allaboutbirds.org/guide/American_White_Pelican/overview,https://www.allaboutbirds.org/guide/assets/photo/31950111-1280px.jpg,https://macaulaylibrary.org/asset/1988,,,,,5 - rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/1988/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Bittern,-RRXXR-,https://upload.wikimedia.org/wikipedia/commons/8/8d/Botaurus_lentiginosus_28079.JPG,https://ebird.org/species/amebit,https://en.wikipedia.org/wiki/American_bittern,https://www.allaboutbirds.org/guide/American_Bittern/overview,https://www.allaboutbirds.org/guide/assets/photo/44432681-1280px.jpg,https://macaulaylibrary.org/asset/103214491,,,,,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/103214491/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Least Bittern,--RRUR-,https://upload.wikimedia.org/wikipedia/commons/2/2c/Ixobrychus_exilis.jpg,https://ebird.org/species/leabit,https://en.wikipedia.org/wiki/Least_bittern,https://www.allaboutbirds.org/guide/Least_Bittern/overview,https://www.allaboutbirds.org/guide/assets/photo/31502231-1280px.jpg,https://macaulaylibrary.org/asset/255557221,,,,,,5 - rare,5 - rare,4 - uncommon,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/255557221/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Great Blue Heron,UFCCCCF,https://upload.wikimedia.org/wikipedia/commons/6/67/GBHfish5.jpg,https://ebird.org/species/grbher3,https://en.wikipedia.org/wiki/Great_blue_heron,https://www.allaboutbirds.org/guide/Great_Blue_Heron/overview,https://www.allaboutbirds.org/guide/assets/photo/31502661-1280px.jpg,https://macaulaylibrary.org/asset/92488041,,,,4 - uncommon,3 - fairly common,2 - common,2 - common,2 - common,2 - common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/92488041/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Great Egret,XUFFCCU,https://upload.wikimedia.org/wikipedia/commons/7/7b/Great_egret_%28Ardea_alba%29_Tobago.jpg,https://ebird.org/species/greegr,https://en.wikipedia.org/wiki/Great_egret,https://www.allaboutbirds.org/guide/great_egret/overview,https://www.allaboutbirds.org/guide/assets/photo/31918201-1280px.jpg,https://macaulaylibrary.org/asset/203948071,,,,6 - extremely rare,4 - uncommon,3 - fairly common,3 - fairly common,2 - common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/203948071/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Snowy Egret,----XX-,https://upload.wikimedia.org/wikipedia/commons/f/f9/Egretta_thula_at_Las_Gallinas_Wildlife_Ponds.jpg,https://ebird.org/species/snoegr,https://en.wikipedia.org/wiki/Snowy_egret,https://www.allaboutbirds.org/guide/Snowy_Egret/overview,https://www.allaboutbirds.org/guide/assets/photo/31915631-1280px.jpg,https://macaulaylibrary.org/asset/104850961,,,,,,,,6 - extremely rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/104850961/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Little Blue Heron,--XXRX-,https://upload.wikimedia.org/wikipedia/commons/7/77/Egretta_caerulea_-Cananeia%2C_Sao_Paulo%2C_Brasil-8.jpg,https://ebird.org/species/libher,https://en.wikipedia.org/wiki/Little_blue_heron,https://www.allaboutbirds.org/guide/Little_Blue_Heron/overview,https://www.allaboutbirds.org/guide/assets/photo/32319641-1280px.jpg,https://macaulaylibrary.org/asset/134113,,,,,,6 - extremely rare,6 - extremely rare,5 - rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/134113/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
