bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Redhead,RUR---U,https://upload.wikimedia.org/wikipedia/commons/0/0b/Redhead_duck_%28Aythya_americana%2C_male%29.jpg,https://ebird.org/species/redhea,https://en.wikipedia.org/wiki/Redhead_(bird),https://www.allaboutbirds.org/guide/Redhead/overview,https://www.allaboutbirds.org/guide/assets/photo/31947381-1280px.jpg,https://macaulaylibrary.org/asset/139672,,,,5 - rare,4 - uncommon,5 - rare,,,,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/139672/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ring-necked Duck,RCF---F,https://upload.wikimedia.org/wikipedia/commons/9/9a/Aythya-collaris-001.jpg,https://ebird.org/species/rinduc,https://en.wikipedia.org/wiki/Ring-necked_duck,https://www.allaboutbirds.org/guide/Ring-necked_Duck/overview,https://www.allaboutbirds.org/guide/assets/photo/31755431-1280px.jpg,https://macaulaylibrary.org/asset/64925961,,,,5 - rare,2 - common,3 - fairly common,,,,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/64925961/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Greater Scaup,XRX---X,https://upload.wikimedia.org/wikipedia/commons/f/fb/Greater-scaup-male2.jpg,https://ebird.org/species/gresca,https://en.wikipedia.org/wiki/Greater_scaup,https://www.allaboutbirds.org/guide/Greater_Scaup/overview,https://www.allaboutbirds.org/guide/assets/photo/31920291-1280px.jpg,https://macaulaylibrary.org/asset/137825,,,,6 - extremely rare,5 - rare,6 - extremely rare,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/137825/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Lesser Scaup,RCU---F,https://upload.wikimedia.org/wikipedia/commons/b/b1/Lesser_scaup_-_Aythya_affinis.jpg,https://ebird.org/species/lessca,https://en.wikipedia.org/wiki/Lesser_scaup,https://www.allaboutbirds.org/guide/Lesser_Scaup/overview,https://www.allaboutbirds.org/guide/assets/photo/25035811-1280px.jpg,https://macaulaylibrary.org/asset/3526,,,,5 - rare,2 - common,4 - uncommon,,,,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/3526/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Surf Scoter,-XX---X,https://upload.wikimedia.org/wikipedia/commons/1/10/Melanitta_perspicillata.jpg,https://ebird.org/species/sursco,https://en.wikipedia.org/wiki/Surf_scoter,https://www.allaboutbirds.org/guide/Surf_Scoter/overview,https://www.allaboutbirds.org/guide/assets/photo/25037821-1280px.jpg,https://macaulaylibrary.org/asset/199603281,,,,,6 - extremely rare,6 - extremely rare,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/199603281/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
White-winged Scoter,XX----X,https://upload.wikimedia.org/wikipedia/commons/f/ff/White-winged_Scoter.jpg,https://ebird.org/species/whwsco2,https://en.wikipedia.org/wiki/White-winged_scoter,https://www.allaboutbirds.org/guide/White-winged_Scoter/overview,https://www.allaboutbirds.org/guide/assets/photo/31751751-1280px.jpg,https://macaulaylibrary.org/asset/191358,,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/191358/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black Scoter,-----XX,https://upload.wikimedia.org/wikipedia/commons/2/2c/Melanitta_americana_Barnegat_NJ.jpg,https://ebird.org/species/blksco2/,https://en.wikipedia.org/wiki/Black_scoter,https://www.allaboutbirds.org/guide/Black_Scoter/overview,https://www.allaboutbirds.org/guide/assets/photo/31956581-1280px.jpg,https://macaulaylibrary.org/asset/169277571,['eerie call'],,,,,,,,6 - extremely rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/169277571/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Bufflehead,XFU---F,https://upload.wikimedia.org/wikipedia/commons/0/0f/Bucephala-albeola-007.jpg,https://ebird.org/species/buffle,https://en.wikipedia.org/wiki/Bufflehead,https://www.allaboutbirds.org/guide/Bufflehead/overview,https://www.allaboutbirds.org/guide/assets/photo/38821501-1280px.jpg,https://macaulaylibrary.org/asset/138213,,,,6 - extremely rare,3 - fairly common,4 - uncommon,,,,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/138213/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Common Goldeneye,FF----F,https://upload.wikimedia.org/wikipedia/commons/3/34/Common_Goldeneye_%28Bucephala_clangula%29.jpg,https://ebird.org/species/comgol,https://en.wikipedia.org/wiki/Common_goldeneye,https://www.allaboutbirds.org/guide/Common_Goldeneye/overview,https://www.allaboutbirds.org/guide/assets/photo/32260151-1280px.jpg,https://macaulaylibrary.org/asset/138208,,,,3 - fairly common,3 - fairly common,,,,,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/138208/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Hooded Merganser,RFR--RR,https://upload.wikimedia.org/wikipedia/commons/1/15/Hooded_Merganser_%28Lophodytes_cucullatus%29_%281%29.JPG,https://ebird.org/species/hoomer/,https://en.wikipedia.org/wiki/Hooded_merganser,https://www.allaboutbirds.org/guide/Hooded_Merganser/overview,https://www.allaboutbirds.org/guide/assets/photo/32312371-1280px.jpg,https://macaulaylibrary.org/asset/219477061,,,,5 - rare,3 - fairly common,5 - rare,,,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/219477061/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
