bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female
Red-winged Blackbird,RAACCCF,,https://ebird.org/species/rewbla,https://ebird.org/species/rewbla,https://www.allaboutbirds.org/guide/Red-winged_Blackbird/id,https://www.allaboutbirds.org/guide/assets/photo/32257341-1280px.jpg,https://macaulaylibrary.org/audio/94234,,https://upload.wikimedia.org/wikipedia/commons/6/60/Agelaius_phoeniceus_0110_taxo.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Agelaius_phoeniceus2.jpg
Brown-headed Cowbird,RCCFFFF,,https://ebird.org/species/bnhcow,https://en.wikipedia.org/wiki/Brown-headed_cowbird,https://www.allaboutbirds.org/guide/Brown-headed_Cowbird/id,https://www.allaboutbirds.org/guide/assets/photo/32005581-1280px.jpg,https://macaulaylibrary.org/audio/84746,,https://upload.wikimedia.org/wikipedia/commons/8/88/Molothrus_ater_2.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Molothrus_ater1.jpg
Rusty Blackbird,RUU--RU,https://upload.wikimedia.org/wikipedia/commons/b/b7/Euphagus-carolinus-001.jpg,https://ebird.org/species/rusbla/,https://en.wikipedia.org/wiki/Rusty_blackbird,https://www.allaboutbirds.org/guide/Rusty_Blackbird/id,https://www.allaboutbirds.org/guide/assets/photo/31721561-1280px.jpg,https://macaulaylibrary.org/audio/12459,,,
Brewer's Blackbird,XRX---R,,,,,,,,,
Common Grackle,RACCFCF,https://upload.wikimedia.org/wikipedia/commons/f/fd/Quiscalus-quiscula-001.jpg,https://ebird.org/species/comgra,https://en.wikipedia.org/wiki/Common_grackle,https://www.allaboutbirds.org/guide/Common_Grackle/id,https://www.allaboutbirds.org/guide/assets/photo/32260721-1280px.jpg,https://macaulaylibrary.org/audio/12668,,,
Ovenbird,--FRRFR,https://upload.wikimedia.org/wikipedia/commons/c/c4/Ovenbird_RWD2011b.jpg,https://ebird.org/species/ovenbi1,https://en.wikipedia.org/wiki/Ovenbird,https://www.allaboutbirds.org/guide/Ovenbird/id,https://www.allaboutbirds.org/guide/assets/photo/31505191-1280px.jpg,https://macaulaylibrary.org/audio/73935,,,
Worm-eating Warbler,--R----,https://upload.wikimedia.org/wikipedia/commons/7/71/Worm-eating_Warbler.jpg,https://ebird.org/species/woewar1,https://en.wikipedia.org/wiki/Worm-eating_warbler,https://www.allaboutbirds.org/guide/Worm-eating_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32008221-1280px.jpg,https://macaulaylibrary.org/audio/84859,,,
Louisiana Waterthrush,-RRR---,https://upload.wikimedia.org/wikipedia/commons/a/a4/Seiurus_motacillaEMP17CB.jpg,https://ebird.org/species/louwat/,https://en.wikipedia.org/wiki/Louisiana_waterthrush,https://www.allaboutbirds.org/guide/Louisiana_Waterthrush/id,https://www.allaboutbirds.org/guide/assets/photo/31615161-1280px.jpg,https://macaulaylibrary.org/audio/105610,,,
Northern Waterthrush,--F--FR,https://upload.wikimedia.org/wikipedia/commons/b/b4/Northern_Waterthrush%2C_Parkesia_noveboracensis.jpg,https://ebird.org/species/norwat,https://en.wikipedia.org/wiki/Northern_waterthrush,https://www.allaboutbirds.org/guide/Northern_Waterthrush/id,https://www.allaboutbirds.org/guide/assets/photo/25039171-1280px.jpg,https://macaulaylibrary.org/audio/131464,,,
Golden-winged Warbler,--F--U-,,https://ebird.org/species/gowwar,https://en.wikipedia.org/wiki/Golden-winged_warbler,https://www.allaboutbirds.org/guide/Golden-winged_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/25039011-1280px.jpg,https://macaulaylibrary.org/audio/107379,,https://upload.wikimedia.org/wikipedia/commons/8/89/Golden-winged_Warbler%2C_Rock_Crusher_Rd.%2C_Sagola%2C_Iron_Co.%2C_MI%2C_21_May_2015_%2818195370525%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/8G7D2461.jpg
Blue-winged Warbler,--FR-U-,https://upload.wikimedia.org/wikipedia/commons/1/13/Vermivora_cyanoptera_-North_Berwick%2C_Maine%2C_USA-8.jpg,https://ebird.org/species/buwwar,https://en.wikipedia.org/wiki/Blue-winged_warbler,https://www.allaboutbirds.org/guide/Blue-winged_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31964401-1280px.jpg,https://macaulaylibrary.org/audio/10833,,,
